title,duration,views,likes,genre,upload_date,url,playlist_url
Adha Pind,PT4M20S,19355904,124404,10,2018-11-27T10:21:41Z,https://www.youtube.com/watch?v=4BbrCKAKsgo,https://music.youtube.com/watch?v=H4nyLuecbi0&list=RDATfgcHVuamFiaQ
Santan Di Tasveer,PT6M16S,33489270,380771,10,2018-05-27T17:49:51Z,https://www.youtube.com/watch?v=-KqxoCdbzrc,https://music.youtube.com/watch?v=H4nyLuecbi0&list=RDATfgcHVuamFiaQ
Sajna,PT5M44S,16807053,111936,10,2016-06-22T01:19:34Z,https://www.youtube.com/watch?v=H4nyLuecbi0,https://music.youtube.com/watch?v=H4nyLuecbi0&list=RDATfgcHVuamFiaQ
Ik Vaari Saai Da Ban Ta Sahi,PT8M22S,30382987,175987,10,2014-11-07T07:06:16Z,https://www.youtube.com/watch?v=JO-dVwRPwpM,https://music.youtube.com/watch?v=H4nyLuecbi0&list=RDATfgcHVuamFiaQ
Sohne Mukhre Da,PT5M46S,12912174,71792,10,2018-08-31T05:23:43Z,https://www.youtube.com/watch?v=3TeQNDHSUzg,https://music.youtube.com/watch?v=H4nyLuecbi0&list=RDATfgcHVuamFiaQ
Pehla Wale,PT2M31S,13941721,88384,10,2020-07-16T15:26:55Z,https://www.youtube.com/watch?v=tE7SotmLWWM,https://music.youtube.com/watch?v=H4nyLuecbi0&list=RDATfgcHVuamFiaQ
Manke,PT4M42S,29507844,291313,10,2017-02-20T13:29:10Z,https://www.youtube.com/watch?v=WHuDhrPEGR0,https://music.youtube.com/watch?v=H4nyLuecbi0&list=RDATfgcHVuamFiaQ
Gadaar (Qaumi Dard),PT5M15S,18307130,215263,10,2018-11-09T12:33:06Z,https://www.youtube.com/watch?v=2V6zeHa0yn4,https://music.youtube.com/watch?v=H4nyLuecbi0&list=RDATfgcHVuamFiaQ
